City,Country,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Latitude,Longitude
Halifax,CA,38.68,75.0,5.0,2.75,44.65,-63.58
belushya guba,,,,,,,
Abay,KZ,59.0,54.0,0.0,4.47,49.63,72.87
Oranjestad,AW,80.6,83.0,40.0,23.04,12.52,-70.03
Mandalgovi,MN,57.47,13.0,100.0,9.31,45.76,106.27
San Juan,PH,88.86,66.0,40.0,13.87,14.6,121.03
Vila,IT,44.76,61.0,0.0,4.7,45.18,8.4
Semporna,MY,87.8,74.0,75.0,4.7,4.48,118.61
Puerto Rico,PY,69.35,98.0,0.0,1.52,-26.82,-55.03
Gat,SN,73.4,69.0,100.0,21.92,14.69,-16.54
korla,,,,,,,
Boguchany,RU,50.09,65.0,100.0,7.92,58.38,97.46
Castro,CL,39.2,100.0,20.0,4.7,-42.48,-73.76
Rocha,UY,48.83,85.0,0.0,3.27,-34.48,-54.34
Muros,ES,55.81,100.0,90.0,10.29,42.77,-9.06
karamay,,,,,,,
Skibbereen,IE,46.4,93.0,75.0,5.82,51.55,-9.27
Christchurch,NZ,55.85,93.0,100.0,13.87,-43.53,172.64
Sitka,US,65.93,85.0,67.0,12.66,37.17,-99.65
mentok,,,,,,,
Dingle,PH,94.55,43.0,100.0,7.96,11.0,122.67
Mega,ET,70.07,85.0,71.0,11.18,4.06,38.32
qabis,,,,,,,
attawapiskat,,,,,,,
Port Hardy,CA,51.8,66.0,75.0,10.29,50.7,-127.42
Oistins,BB,78.8,78.0,40.0,16.11,13.07,-59.53
Yanam,IN,87.8,66.0,40.0,4.7,16.73,82.22
Grand Island,US,49.21,93.0,90.0,19.46,40.92,-98.34
Tamiahua,MX,77.63,95.0,57.0,7.92,21.28,-97.45
Karpogory,RU,41.45,85.0,88.0,7.74,64.0,44.44
Rudnyy,KZ,66.2,32.0,0.0,11.18,52.96,63.12
Cooma,AU,53.6,76.0,0.0,11.41,-36.24,149.13
Erdenet,MN,57.47,21.0,91.0,9.51,49.03,104.04
Hami,CN,58.73,32.0,34.0,4.79,42.84,93.51
Aswan,EG,84.2,16.0,0.0,10.29,24.09,32.9
Launceston,AU,55.58,71.0,41.0,11.41,-41.43,147.14
Tilichiki,RU,47.03,45.0,0.0,12.64,60.47,166.1
Hasaki,JP,62.89,55.0,40.0,8.05,35.73,140.83
Eydhafushi,MV,84.11,63.0,47.0,4.36,5.1,73.07
Waipawa,NZ,60.01,69.0,52.0,1.99,-39.94,176.59
Sechura,PE,70.79,88.0,33.0,11.23,-5.56,-80.82
Mount Gambier,AU,68.0,42.0,40.0,13.87,-37.83,140.78
Ormara,PK,85.37,41.0,0.0,8.23,25.21,64.64
Polignano a Mare,IT,48.11,93.0,20.0,14.99,41.0,17.22
Souillac,FR,38.82,75.0,0.0,3.36,45.6,-0.6
Itarema,BR,77.45,87.0,88.0,4.09,-2.92,-39.92
Ponta do Sol,BR,63.59,96.0,0.0,1.12,-20.63,-46.0
Almonte,CA,53.74,81.0,90.0,11.41,45.23,-76.19
Marzuq,YE,74.03,44.0,0.0,5.21,14.4,46.47
Byron Bay,AU,77.0,41.0,0.0,6.93,-28.65,153.62
Cocobeach,GA,77.0,94.0,20.0,2.24,1.01,9.58
Xalpatlahuac,MX,65.75,55.0,19.0,5.17,17.47,-98.62
Vilhena,BR,73.13,85.0,100.0,2.55,-12.74,-60.15
Praia,BR,66.2,88.0,0.0,3.36,-20.25,-43.81
Susehri,TR,42.17,90.0,0.0,10.42,40.16,38.09
Sola,NO,39.29,65.0,13.0,18.34,58.89,5.65
Moose Factory,CA,33.8,59.0,90.0,5.82,51.26,-80.61
Tazovskiy,RU,29.75,91.0,5.0,12.77,67.47,78.7
Changli,CN,56.39,87.0,98.0,13.38,30.54,105.42
Sao Felix do Xingu,BR,71.51,84.0,48.0,3.91,-6.64,-51.99
Tommot,RU,43.25,57.0,74.0,10.94,58.97,126.27
San Patricio,PY,70.97,97.0,0.0,2.35,-26.98,-56.83
Mecca,SA,88.61,24.0,0.0,2.3,21.43,39.83
Boksitogorsk,RU,46.67,96.0,100.0,4.85,59.47,33.85
Aykhal,RU,24.8,73.0,90.0,8.95,65.95,111.51
Sosnovskoye,RU,55.13,93.0,40.0,4.47,55.81,43.17
urumqi,,,,,,,
Klyuchi,RU,66.83,45.0,0.0,5.17,52.25,79.17
Yulara,AU,75.2,19.0,0.0,14.99,-25.24,130.99
Okhotsk,RU,34.25,99.0,100.0,16.17,59.36,143.24
armacao dos buzios,,,,,,,
Koslan,RU,42.17,80.0,99.0,8.46,63.46,48.9
Bilma,NE,85.37,8.0,0.0,8.14,18.69,12.92
Morro Bay,US,54.81,82.0,90.0,6.2,35.37,-120.85
Plouzane,FR,43.47,81.0,0.0,4.7,48.38,-4.62
Matongo,BI,57.83,95.0,100.0,1.74,-3.07,29.61
Kochki,RU,67.37,40.0,0.0,4.52,54.33,80.49
Miles City,US,43.29,70.0,90.0,8.05,46.41,-105.84
Mitsamiouli,KM,78.8,78.0,20.0,6.93,-11.38,43.28
Shitanjing,CN,55.99,45.0,100.0,4.0,39.23,106.34
Nuevo Casas Grandes,MX,67.91,27.0,32.0,15.99,30.42,-107.91
Goderich,CA,42.15,89.0,38.0,10.58,43.74,-81.71
Neryungri,RU,40.55,68.0,92.0,12.75,56.66,124.71
Chebsara,RU,51.8,87.0,0.0,6.71,59.2,38.84
Terrace,CA,55.4,50.0,90.0,10.29,54.52,-128.61
Banda Aceh,ID,84.29,75.0,74.0,12.41,5.56,95.32
porto santo,,,,,,,
Nassau,DE,33.08,86.0,0.0,8.05,51.17,13.51
Morondava,MG,80.51,52.0,0.0,11.16,-20.3,44.28
Nizhnedevitsk,RU,51.8,81.0,0.0,2.24,51.55,38.36
Isangel,VU,82.4,83.0,75.0,11.41,-19.55,169.27
Sarab,IR,44.51,62.0,100.0,0.78,38.61,44.99
Taree,AU,73.96,30.0,0.0,8.05,-31.91,152.46
Ilulissat,GL,35.6,69.0,33.0,3.36,69.22,-51.1
Kerrville,US,66.69,93.0,75.0,13.85,30.05,-99.14
Shingu,JP,66.2,29.0,20.0,18.34,33.72,135.99
Bilibino,RU,22.91,80.0,0.0,3.6,68.06,166.44
Rio Gallegos,AR,42.8,87.0,0.0,2.24,-51.62,-69.22
Taoudenni,ML,85.01,11.0,0.0,13.11,22.68,-3.98
malakal,,,,,,,
Kieta,PG,88.61,57.0,14.0,4.79,-6.22,155.63
Meulaboh,ID,83.03,70.0,100.0,3.83,4.14,96.13
agstafa,,,,,,,
Batagay-Alyta,RU,25.07,94.0,96.0,4.27,67.8,130.41
Porto Seguro,BR,75.2,94.0,75.0,2.24,-16.44,-39.06
Lannion,FR,44.64,81.0,0.0,4.7,48.73,-3.46
Vilyuysk,RU,39.29,64.0,50.0,9.48,63.75,121.63
Ulaangom,MN,59.63,18.0,27.0,4.74,49.98,92.07
Northam,GB,42.8,83.0,100.0,1.99,51.04,-4.21
Baden-Baden,DE,35.74,86.0,0.0,3.36,48.76,8.24
Mehamn,NO,31.24,79.0,0.0,4.7,71.03,27.85
ji-parana,,,,,,,
Necochea,AR,44.47,86.0,0.0,3.83,-38.55,-58.74
Boende,CD,72.95,93.0,100.0,2.44,-0.28,20.88
phan rang,,,,,,,
Dvinskoy,RU,44.33,91.0,100.0,7.65,62.16,45.12
skalistyy,,,,,,,
Castelo do Piaui,BR,74.75,85.0,56.0,2.1,-5.32,-41.55
Tura,IN,83.03,74.0,62.0,10.83,25.52,90.21
Mmabatho,ZA,53.6,71.0,0.0,3.36,-25.85,25.61
Mar del Plata,AR,48.83,55.0,0.0,5.26,-46.43,-67.52
Homer,US,46.54,87.0,90.0,5.82,59.64,-151.54
Mul,IN,102.65,12.0,0.0,1.95,20.07,79.68
Kamiiso,JP,59.0,38.0,40.0,14.99,41.82,140.65
Te Anau,NZ,59.81,58.0,88.0,1.99,-45.41,167.72
Ayame,CI,78.17,91.0,45.0,2.46,5.61,-3.16
Manavgat,TR,63.39,88.0,40.0,6.93,36.79,31.44
Sao Joao da Barra,BR,70.97,88.0,17.0,4.21,-21.64,-41.05
kemijarvi,,,,,,,
crab hill,,,,,,,
Bitung,ID,89.6,62.0,40.0,3.36,1.44,125.19
Naushki,RU,65.03,28.0,11.0,14.61,50.39,106.11
Otavalo,EC,55.4,87.0,20.0,2.24,0.23,-78.26
Padang,ID,89.6,59.0,20.0,4.7,-0.92,100.36
Yangambi,CD,71.51,87.0,100.0,0.69,0.77,24.47
Junction City,US,58.66,93.0,20.0,11.41,39.03,-96.83
Bowen,AU,77.47,57.0,0.0,9.17,-20.01,148.25
Fortuna,ES,61.16,82.0,40.0,3.36,38.18,-1.13
Kuryk,KZ,69.35,47.0,9.0,10.36,43.18,51.68
Bulawayo,ZW,62.33,60.0,0.0,10.83,-20.16,28.59
Esfarayen,IR,57.2,82.0,12.0,2.24,37.08,57.51
shkotovo-26,,,,,,,
Srednekolymsk,RU,45.77,53.0,0.0,9.57,67.46,153.71
San Cristobal,EC,50.45,87.0,20.0,2.24,-0.39,-78.55
Diffa,NE,90.05,9.0,84.0,9.04,13.32,12.61
Ca Mau,VN,90.59,62.0,88.0,10.27,9.18,105.15
Galeras,CO,81.41,87.0,100.0,8.34,9.16,-75.05
Maceio,BR,73.4,88.0,0.0,2.24,-9.67,-35.74
Guerrero Negro,MX,62.69,82.0,30.0,7.87,27.97,-114.04
Lerik,AZ,50.5,100.0,90.0,4.03,38.78,48.42
Namibe,AO,71.87,78.0,12.0,6.31,-15.19,12.15
Arlit,NE,88.07,13.0,0.0,9.98,18.74,7.39
Prainha,BR,75.29,96.0,100.0,2.75,-1.8,-53.48
Xifeng,CN,68.09,20.0,0.0,12.21,42.73,124.72
Vila do Maio,CV,71.6,68.0,20.0,17.22,15.13,-23.22
Darhan,MN,61.25,19.0,62.0,8.39,49.49,105.92
Neiafu,TO,77.0,78.0,75.0,11.41,-18.65,-173.98
Hambantota,LK,86.0,84.0,20.0,12.75,6.12,81.12
Sur,OM,88.07,28.0,0.0,11.14,22.57,59.53
Sorland,NO,39.47,72.0,100.0,17.85,67.67,12.69
el balyana,,,,,,,
Sonamukhi,IN,87.01,59.0,0.0,12.64,23.3,87.41
Grindavik,IS,39.13,86.0,20.0,4.7,63.84,-22.43
tabiauea,,,,,,,
yellamanchili,,,,,,,
Madison,US,51.94,71.0,90.0,4.7,43.07,-89.38
Ketchikan,US,46.4,100.0,90.0,12.75,55.34,-131.65
Savannah Bight,HN,82.31,81.0,100.0,27.94,16.45,-85.85
Hervey Bay,AU,79.92,36.0,0.0,8.05,-25.3,152.85
Saint-Pierre,FR,32.67,100.0,85.0,3.36,48.95,4.24
Touros,BR,77.0,83.0,40.0,5.82,-5.2,-35.46
Mangaratiba,BR,77.0,88.0,0.0,2.24,-22.96,-44.04
Yakeshi,CN,62.69,27.0,0.0,13.76,49.28,120.73
Pacific Grove,US,54.91,87.0,90.0,5.82,36.62,-121.92
Madimba,CM,76.37,85.0,100.0,1.59,4.42,9.93
Pangnirtung,CA,26.33,75.0,0.0,4.65,66.15,-65.72
Sokoni,CD,57.65,98.0,47.0,4.83,-12.89,28.78
macaboboni,,,,,,,
Pavlodar,KZ,68.0,42.0,0.0,6.71,52.28,76.96
Kortkeros,RU,43.41,100.0,75.0,11.18,61.81,51.56
Cap Malheureux,MU,77.0,83.0,75.0,12.06,-19.98,57.61
Teguldet,RU,60.17,36.0,80.0,8.34,57.31,88.17
Thinadhoo,MV,84.11,72.0,37.0,7.52,0.53,72.93
Grakhovo,RU,59.0,62.0,40.0,15.66,56.05,51.96
Umm Lajj,SA,83.39,49.0,1.0,13.0,25.02,37.27
Rodrigues Alves,BR,77.0,100.0,0.0,0.69,-7.74,-72.65
Seminole,US,72.34,56.0,1.0,11.41,32.72,-102.64
Beringovskiy,RU,27.05,82.0,19.0,11.83,63.05,179.32
akyab,,,,,,,
karakendzha,,,,,,,
bokspits,,,,,,,
kazbegi,,,,,,,
Daru,SL,75.65,97.0,100.0,1.63,7.99,-10.85
Nizhniy Kuranakh,RU,41.45,61.0,98.0,10.83,58.84,125.49
Victor Harbor,AU,56.8,77.0,75.0,24.16,-35.55,138.62
Praia da Vitoria,PT,57.09,100.0,40.0,17.96,38.73,-27.07
Fengxian,CN,49.01,82.0,95.0,2.86,33.91,106.52
Labuhan,ID,92.39,49.0,56.0,2.75,-2.54,115.51
Golega,PT,57.61,87.0,75.0,3.36,39.4,-8.49
Beya,RU,61.25,44.0,55.0,5.19,53.05,90.92
Airai,TL,87.89,55.0,97.0,3.33,-8.93,125.41
Coahuayana,MX,85.19,11.0,1.0,3.71,18.62,-100.35
Acajutla,SV,80.01,69.0,1.0,4.21,13.59,-89.83
Vytegra,RU,39.83,97.0,91.0,4.81,61.01,36.45
Santander,PH,89.6,70.0,20.0,9.17,9.42,123.33
artyk,,,,,,,
Santa Isabel do Rio Negro,BR,74.03,98.0,40.0,2.04,-0.41,-65.02
Belyy Yar,RU,60.8,23.0,0.0,8.95,53.6,91.39
Dargaville,NZ,67.01,72.0,4.0,12.73,-35.94,173.86
barawe,,,,,,,
tatawin,,,,,,,
Palmer,AU,57.54,77.0,75.0,24.16,-34.85,139.16
Agadez,NE,86.0,9.0,1.0,3.58,16.97,7.99
Harrisburg,US,57.16,82.0,1.0,2.39,40.27,-76.89
Moron,VE,76.55,88.0,65.0,1.72,10.49,-68.2
Saint George,GR,47.97,62.0,20.0,6.93,39.45,22.34
Sungairaya,ID,85.37,74.0,21.0,10.47,0.7,108.9
North Myrtle Beach,US,67.23,77.0,90.0,6.93,33.83,-78.68
Shetpe,KZ,63.05,64.0,25.0,11.48,44.14,52.16
Swan Hill,AU,69.89,30.0,0.0,14.54,-35.34,143.56
Mirskoy,RU,55.85,86.0,0.0,7.61,45.54,40.4
Solok,ID,89.6,59.0,20.0,4.7,-0.79,100.66
domoni,,,,,,,
Dubbo,AU,66.2,42.0,0.0,13.87,-32.25,148.6
Lompoc,US,55.81,76.0,75.0,4.7,34.64,-120.46
Hegang,CN,53.87,44.0,97.0,10.16,47.34,130.28
Talcahuano,CL,53.6,93.0,90.0,2.24,-36.72,-73.12
Camopi,GF,72.77,99.0,100.0,0.89,3.17,-52.33
Urucara,BR,75.29,94.0,67.0,1.59,-2.54,-57.76
Kathu,ZA,64.0,51.0,0.0,10.0,-27.7,23.05
Flinders,AU,69.21,28.0,0.0,12.75,-34.58,150.85
Strzelin,PL,36.27,91.0,0.0,6.93,50.78,17.07
Aflao,TG,82.4,88.0,20.0,5.82,6.12,1.19
Yatou,CM,83.03,74.0,100.0,2.73,3.63,9.81
Hailar,CN,65.03,25.0,18.0,13.35,49.2,119.7
Steinbach,CA,34.11,43.0,5.0,2.24,49.53,-96.69
Senno,RU,44.6,93.0,100.0,11.18,57.76,27.95
Nanjing,CN,70.12,25.0,0.0,13.42,32.06,118.79
Husavik,CA,31.33,57.0,0.0,2.55,50.56,-96.99
Ipameri,BR,69.71,87.0,0.0,3.83,-17.72,-48.16
Pecos,US,75.13,57.0,75.0,25.28,31.42,-103.49
Khabary,RU,67.37,36.0,0.0,4.32,53.63,79.53
Aksu,KZ,68.0,42.0,0.0,6.71,52.04,76.93
Joshimath,IN,61.97,3.0,0.0,3.85,30.57,79.57
Caravelas,BR,76.19,87.0,25.0,3.47,-17.73,-39.27
Paka,HR,43.27,93.0,75.0,9.17,45.29,18.06
Poum,MK,39.2,93.0,75.0,1.12,41.28,20.71
Sao Miguel,BR,65.21,98.0,86.0,2.1,4.52,-61.01
Roald,NO,30.65,64.0,100.0,4.7,62.58,6.12
Port-Gentil,GA,82.31,83.0,100.0,8.72,-0.72,8.78
Kavieng,PG,84.65,73.0,100.0,9.42,-2.57,150.8
Hirara,JP,77.0,73.0,75.0,19.46,24.8,125.28
fort saint john,,,,,,,
Udachnyy,RU,24.8,73.0,90.0,8.95,66.42,112.4
Coruripe,BR,70.07,91.0,100.0,2.1,-10.12,-36.18
Kyaikkami,MM,85.73,76.0,100.0,10.09,16.08,97.57
sakakah,,,,,,,
Chichimila,MX,79.07,79.0,0.0,4.61,20.62,-88.22
raga,,,,,,,
Lodwar,KE,84.65,51.0,87.0,3.53,3.12,35.6
lolua,,,,,,,
Ulaanbaatar,MN,59.0,12.0,75.0,2.24,47.92,106.92
Wick,GB,41.34,75.0,100.0,2.24,51.45,-2.43
Whakatane,NZ,66.7,53.0,61.0,1.01,-37.96,176.99
Kanigoro,ID,86.81,59.0,2.0,5.68,-8.13,112.22
Bud,NO,31.35,63.0,100.0,4.7,62.91,6.91
Payakumbuh,ID,85.19,49.0,0.0,0.92,-0.23,100.63
Eureka,US,50.94,100.0,90.0,3.36,40.8,-124.16
Lydenburg,ZA,64.99,92.0,0.0,4.23,-25.1,30.46
Boyolangu,ID,83.57,63.0,3.0,5.91,-8.09,111.9
Mattru,SL,79.25,92.0,100.0,1.92,7.62,-11.83
Sioux Lookout,CA,33.01,73.0,20.0,3.96,50.1,-91.92
Krasnokamensk,RU,63.59,24.0,73.0,14.94,50.1,118.04
Saint-Jean-de-la-Ruelle,FR,38.55,80.0,0.0,3.36,47.91,1.87
San Nicolas,HN,72.59,91.0,100.0,2.71,14.94,-88.33
nykobing,,,,,,,
Winsum,NL,33.82,100.0,1.0,2.24,53.33,6.52
Namie,JP,57.94,35.0,75.0,17.22,37.52,140.86
Antofagasta,CL,59.0,82.0,0.0,2.24,-23.65,-70.4
Elat,CM,69.35,99.0,100.0,2.1,2.91,11.16
Coquimbo,CL,64.06,87.0,90.0,4.7,-29.95,-71.34
Gualaquiza,EC,52.07,98.0,96.0,3.49,-3.4,-78.58
San Jose del Golfo,GT,74.21,60.0,99.0,1.41,14.76,-90.38
Deputatskiy,RU,31.55,92.0,1.0,3.87,69.3,139.9
Wana,PK,60.89,27.0,0.0,1.9,32.31,69.59
Maanshan,CN,68.0,25.0,0.0,13.42,31.7,118.5
Aracruz,BR,75.2,94.0,0.0,3.36,-19.82,-40.27
bengkulu,,,,,,,
Were Ilu,ET,66.83,37.0,96.0,6.55,10.6,39.43
Hunchun,CN,65.75,21.0,38.0,12.95,42.86,130.36
Derzhavinsk,KZ,66.65,31.0,0.0,7.25,51.1,66.31
cosala,,,,,,,
Buala,SB,83.93,71.0,29.0,5.79,-8.15,159.59
stornoway,,,,,,,
palasa,,,,,,,
Marystown,CA,39.29,78.0,29.0,4.38,47.17,-55.16
Oslomej,MK,42.96,93.0,75.0,1.12,41.58,21.0
Anahuac,US,75.38,78.0,1.0,8.05,29.77,-94.68
haibowan,,,,,,,
Pringsewu,ID,88.25,47.0,0.0,2.17,-5.36,104.98
Olga,US,59.95,59.0,90.0,8.05,34.11,-118.17
Ichhawar,IN,89.6,24.0,0.0,23.04,23.03,77.02
Saint-Felicien,CA,44.6,100.0,90.0,3.36,48.65,-72.45
Bireun,ID,83.75,55.0,100.0,0.54,5.2,96.7
Elbistan,TR,46.49,86.0,0.0,5.28,38.2,37.19
linchuan,,,,,,,
Mahanoro,MG,63.23,92.0,0.0,2.77,-19.9,48.8
Bontang,ID,90.41,55.0,99.0,4.16,0.12,117.47
